Repo,Closed,Commented,Not interested,Interested,Use,Not use,Spam,Not applicable,Feedback,Recognize automations,Model feedback,Suggest task implementations,Agree,Don't agree,No English response
camunda-community-hub/zeebe-hazelcast-exporter,1,1,"","",,1,,1,,,,,,,
openGemini/opengemini-client-java,1,,,,,,,,,,,,,,
Lenni0451/LambdaEvents,1,1,"","",1,,,1,"",,,,,,
maciekberry/MonumentPhotoExporter,1,,,,,,,,,,,,,,
testcontainers/testcontainers-java,1,1,,,,,,,1,1,,,,,
Deep-Symmetry/crate-digger,1,1,1,,,,,,,,,,,,
toolisticon/cute,1,1,,1,,,,,1,,,1,,,
foojayio/discoapi,1,1,"",,,,,1,,,,,,,
ops4j/org.ops4j.pax.web,1,,,,,,,,,,,,,,
microsoft/typespec,1,,,,,,,,,,,,,,
TechnicallyCoded/Inventory-Rollback-Plus,1,1,1,,,,1,,,,,,,,
Crazy-Crew/BlockParticles,1,1,1,,,,,,,,,,,,
TerraformersMC/Vistas,1,1,"",,,,,1,,,,,,,
cognitect/transit-java,1,,,,,,,,,,,,,,
caffeinemc/lithium,1,,,,,,,,,,,,,,
M-T3K/UPM,,,,,,,,,,,,,,,
verils/gotemplate4j,,,,,,,,,,,,,,,
udacity/nd035-c1-spring-boot-basics-examples,,,,,,,,,,,,,,,
instaclustr/cassandra-ldap,,,,,,,,,,,,,,,
sailthru/sailthru-java-client,,,,,,,,,,,,,,,
NXPNFCProject/NFC_NCIHAL_base,,,,,,,,,,,,,,,
xuxueli/xxl-api,,,,,,,,,,,,,,,
sky-map-team/stardroid,,,,,,,,,,,,,,,
soartech/jsoar,,,,,,,,,,,,,,,
HeChuQIU/MinecraftMod-Mindustry,,,,,,,,,,,,,,,
spotify/mobius,,,,,,,,,,,,,,,
RealHeart/ZMusic,,,,,,,,,,,,,,,
SecUSo/privacy-friendly-werewolf,,,,,,,,,,,,,,,
dashaun/initializr-plusplus,,,,,,,,,,,,,,,
tberg12/ocular,,,,,,,,,,,,,,,
datastax/jvector,,,,,,,,,,,,,,,
spring-guides/tut-rest,,,,,,,,,,,,,,,
oliverdunk/JukeboxAPI,,,,,,,,,,,,,,,
dkpro/dkpro-statistics,,,,,,,,,,,,,,,
IntellectualSites/HTTP4J,1,,,,,,,,,,,,,,
jitsi/libjitsi,,,,,,,,,,,,,,,
jhonnymertz/java-wkhtmltopdf-wrapper,1,1,,1,1,,,,1,1,,1,1,,
elasticsoftwarefoundation/elasticactors,,,,,,,,,,,,,,,
f-lab-edu/infrun,,,,,,,,,,,,,,,
mahmoudparsian/data-algorithms-book,,,,,,,,,,,,,,,
comp500/Indium,,,,,,,,,,,,,,,
tobszarny/ActiveTabHighlighterPlugin,,,,,,,,,,,,,,,
devops-tools-for-java-developers/code-snippets,,,,,,,,,,,,,,,
okta/okta-auth-java,,,,,,,,,,,,,,,
amosshi/binaryinternals,,,,,,,,,,,,,,,
hypercube1024/firefly,,,,,,,,,,,,,,,
aws-observability/application-signals-demo,,,,,,,,,,,,,,,
cubefs/compass,,,,,,,,,,,,,,,
A248/MorePaperLib,,,,,,,,,,,,,,,
bycza-zagroda/track-expenses-app-backend,,,,,,,,,,,,,,,
eclipse/gef-classic,,1,,1,,1,,,1,1,1,1,,,
selenide-examples/cucumber,,1,"","",1,,,1,1,1,,,,,
stargate/stargate,1,,,,,,,,,,,,,,
se2p/LitterBox,,1,,1,1,,,,1,,1,,,,
ASSERT-KTH/SelfAPR,,1,,1,,,,,,,,,,,
spdx/Spdx-Java-Library,,1,,1,1,,,,1,1,,,,,
mybatis/ignite-cache,1,1,1,1,,,,,1,1,,,,,
GoogleCloudPlatform/functions-framework-java,1,,,,,,,,,,,,,,
secure-software-engineering/FlowDroid,1,1,,1,,,,,1,1,,,,,
KouShenhai/KCloud-Platform-IoT,1,1,,,,,,,,,,,,,1
phax/phoss-smp,1,1,,1,,,,,1,1,,,,,
cevheri/keycloak-custom-event-listener,1,1,,1,1,,,,"",,,,1,,
helidon-io/helidon-build-tools,1,1,,,1,,,,1,1,1,,,,
kristian/JDigitalSimulator,1,,,,,,,,,,,,,,
awslabs/amazon-kinesis-client,,,,,,,,,,,,,,,
bsorrentino/java2typescript,,,,,,,,,,,,,,,
mosip/id-authentication,,,,,,,,,,,,,,,
lt-name/MurderMystery_Nukkit,,,,,,,,,,,,,,,
googleapis/java-pubsublite-spark,,,,,,,,,,,,,,,
iyyel/celestial-outbreak,,,,,,,,,,,,,,,
jakartaee/authentication,,,,,,,,,,,,,,,
JustDerb/yed-aws-palettes,,,,,,,,,,,,,,,
ZhongFuCheng3y/hades,,,,,,,,,,,,,,,
Rigner/Limbo,,,,,,,,,,,,,,,
ostigter/portfolio-manager,,,,,,,,,,,,,,,
aidanwhiteley/books,,,,,,,,,,,,,,,
ssc-public/Software-Engineering-Lab,,,,,,,,,,,,,,,
deltastreaminc/flink-connector-snowflake,,,,,,,,,,,,,,,
Erudika/para-search-elasticsearch,,,,,,,,,,,,,,,
swaldman/mchange-commons-java,,,,,,,,,,,,,,,
mailgun/mailgun-java,,,,,,,,,,,,,,,
ocraft/ocraft-s2client,,,,,,,,,,,,,,,
AgreementMakerLight/AML-Project,,,,,,,,,,,,,,,
Blazemeter/blazemeter-jenkins-plugin,,,,,,,,,,,,,,,
piomin/sample-java-concurrency,,,,,,,,,,,,,,,
OxalisCommunity/vefa-peppol,,,,,,,,,,,,,,,
matsim-org/matsim-libs,,,,,,,,,,,,,,,
xpert-framework/xpert-framework,,,,,,,,,,,,,,,
italia/spid-keycloak-provider,1,,,,,,,,,,,,,,
LiveRamp/cascading_ext,,,,,,,,,,,,,,,
oncokb/oncokb,,,,,,,,,,,,,,,
HubSpot/SlimFast,,,,,,,,,,,,,,,
tst-labs/esocial,,,,,,,,,,,,,,,
focus-shift/jollyday,1,,,,,,,,,,,,,,
datacleaner/DataCleaner,,,,,,,,,,,,,,,
15knots/cmake4eclipse,,,,,,,,,,,,,,,
Geniusay/ChopperBot,,1,,,,,,,,,,,,,1
authlete/authlete-java-common,,,,,,,,,,,,,,,
jidesoft/jide-oss,,,,,,,,,,,,,,,
Azure-Samples/spring-chatgpt-sample,,,,,,,,,,,,,,,
clarisma/geodesk,,,,,,,,,,,,,,,
opcoach/E34MigrationTooling,,,,,,,,,,,,,,,
OpenSPG/openspg,1,,,,,,,,,,,,,,
ionutbalosin/ecommerce-app,,,,,,,,,,,,,,,
kstateome/lti-launch,,,,,,,,,,,,,,,
finos/legend-shared,,,,,,,,,,,,,,,
721806280/lark-notice-plugin,,,,,,,,,,,,,,,
alfasoftware/soapstone,,,,,,,,,,,,,,,
lealone/Lealone,,,,,,,,,,,,,,,
killbill/killbill-analytics-plugin,,,,,,,,,,,,,,,
vanDusty/SpringBoot-Home,,,,,,,,,,,,,,,
RaiMan/SikuliX1,,,,,,,,,,,,,,,
overbaard/overbaard,,,,,,,,,,,,,,,
piomin/sample-spring-blockchain,1,1,,,,,,1,,,,,,,
extism/java-sdk,1,,,,,,,,,,,,,,
microsoft/lst-bench,,,,,,,,,,,,,,,
tdlight-team/tdlight-java,1,,,,,,,,,,,,,,
cdimascio/dotenv-java,,,,,,,,,,,,,,,
aliyun/alibabacloud-hologres-connectors,,,,,,,,,,,,,,,
edap-io/edap,,,,,,,,,,,,,,,
uliss3s/ceputil,,,,,,,,,,,,,,,
jcabi/jcabi-velocity,,,,,,,,,,,,,,,
yegor256/s3auth,,,,,,,,,,,,,,,
CleverCloud/biscuit-pulsar,,,,,,,,,,,,,,,
michelin/avro-xml-mapper,,,,,,,,,,,,,,,
twineworks/tweakflow,,,,,,,,,,,,,,,
mkl-public/testarea-pdfbox2,,,,,,,,,,,,,,,
openshift/jenkins-client-plugin,,,,,,,,,,,,,,,
apache/airavata-mft,,,,,,,,,,,,,,,
clagomess/pirilampo,,,,,,,,,,,,,,,
sstokic-tgm/JFTSE,,,,,,,,,,,,,,,
jcabi/jcabi-mysql-maven-plugin,,,,,,,,,,,,,,,
CTYue/chuwa-eij-tutorial,1,1,,,,,,1,,,,,,,
7isenko/ScenarioMixPlugin,,,,,,,,,,,,,,,
DenizenScript/Denizen,1,1,1,,,,1,,,,,,,,
jenkinsci/pipeline-as-yaml-plugin,1,1,1,,,,1,,,,,,,,
flytegg/neptune,1,,,,,,,,,,,,,,
pavsa/hackrf-spectrum-analyzer,,,,,,,,,,,,,,,
feiniaojin/graceful-response,1,,,,,,,,,,,,,,
fransjacobs/model-railway,,1,,1,1,,,,"",,,,1,,
reactiverse/reactiverse-contextual-logging,1,,,,,,,,,,,,,,
JCTools/JCTools,1,1,1,,,,,,,,,,,,
FraunhoferIOSB/FROST-Server,1,1,,1,,1,,,1,1,,,,,
frictionlessdata/datapackage-java,,1,,1,1,,,,"",,,,1,,
lc-nyovchev/axon-simple,,1,,1,1,,,,"",,,,1,,
datafaker-net/datafaker,1,1,,1,,1,,,1,1,,,,,
selenide/selenide,1,1,"",,,,,1,1,1,,,,,
LittleProxy/LittleProxy,,,,,,,,,,,,,,,
zhangjh/gemini_sdk,1,,,,,,,,,,,,,,
FasterXML/jackson-datatype-joda,1,1,1,,,,,,,,,,,,
lc-nyovchec/lombok-spring-qualifier,,,,,,,,,,,,,,,
restfb/restfb,,1,,1,1,,,,1,1,,,,,
vy/log4j2-redis-appender,1,,,,,,,,,,,,,,
qoomon/maven-git-versioning-extension,1,,,,,,,,,,,,,,
gaul/are-we-consistent-yet,1,,,,,,,,,,,,,,
daniel-frak/keycloak-user-migration,,1,,1,1,,,,1,1,1,,,,
FasterXML/jackson-dataformats-binary,1,,,,,,,,,,,,,,
Kaysoro/KaellyBot,1,1,,1,1,,,,1,1,,,,,
magicdude4eva/graylog-jira-alarmcallback,1,,,,,,,,,,,,,,
INRIA/spoon,,1,,1,1,,,,1,1,,,,,
GoogleCloudPlatform/alloydb-java-connector,1,1,"",,,,,1,,,,,,,
inception-project/inception,1,1,,,1,,,,1,1,,,,,
oxygenxml/oxygen-batch-converter-addon,1,1,1,,,,,,,,,,,,
mojohaus/exec-maven-plugin,,1,,1,,,,,1,1,,,,,
SeleniumHQ/selenium,1,1,"",,,,,1,,,,,,,
OpenIdentityPlatform/OpenAM,1,,,,,,,,,,,,,,
cryostatio/jfr-datasource,1,1,,1,1,,,,1,1,,,,,
BTELNYY/btelnyy-nochatreport,,,,,,,,,,,,,,,
codelibs/minhash,1,,,,,,,,,,,,,,
quarkiverse/quarkus-logging-json,1,,,,,,,,,,,,,,
oracle/spring-cloud-oci,1,,,,,,,,,,,,,,
jenkinsci/generic-webhook-trigger-plugin,1,,,,,,,,,,,,,,
josemmo/yamipa,,,,,,,,,,,,,,,
arago/rike,,,,,,,,,,,,,,,
haumacher/mjSIP,,,,,,,,,,,,,,,
agentsoz/bdi-abm-integration,,,,,,,,,,,,,,,
apache/camel-kafka-connector,,,,,,,,,,,,,,,
wizzdi/FlexiCore,,,,,,,,,,,,,,,
kennyk65/Microservices-With-Spring-Student-Files,,,,,,,,,,,,,,,
clancyliu/school-data,,,,,,,,,,,,,,,
vaadin/base-starter-flow-quarkus,,,,,,,,,,,,,,,
apache/incubator-hugegraph-computer,,,,,,,,,,,,,,,
confluentinc/common,,,,,,,,,,,,,,,
DIGI-UW/OpenELIS-Global-2,,,,,,,,,,,,,,,
apache/maven-jlink-plugin,,,,,,,,,,,,,,,
eclipse-vertx/vert.x,,,,,,,,,,,,,,,
akryvtsun/weight2fit,,,,,,,,,,,,,,,
HubSpot/Rosetta,,,,,,,,,,,,,,,
stefanuebe/vaadin-fullcalendar,,,,,,,,,,,,,,,
apache/incubator-stormcrawler,1,1,,,,,,,1,,,,,,
Terracotta-OSS/terracotta-core,,,,,,,,,,,,,,,
gluonhq/scenebuilder,,,,,,,,,,,,,,,
dlsc-software-consulting-gmbh/CalendarFX,,,,,,,,,,,,,,,
StarRocks/starrocks-connector-for-apache-spark,,,,,,,,,,,,,,,
eclipse-kura/kura,,,,,,,,,,,,,,,
adobe/aem-core-wcm-components,,,,,,,,,,,,,,,
rayokota/keta,,,,,,,,,,,,,,,
telosys-tools-bricks/telosys-tools-generator,,,,,,,,,,,,,,,
pepstock-org/Charba,,1,,1,,,,,,,,,1,,
urlaubsverwaltung/zeiterfassung,1,,,,,,,,,,,,,,
apache/horaedb-client-java,,,,,,,,,,,,,,,
Pi4J/pi4j,,,,,,,,,,,,,,,
Tanaguru/tanaguru2020-engine,,,,,,,,,,,,,,,
retromcorg/Project-Poseidon,,,,,,,,,,,,,,,
ciimina/qianfan-starter,,,,,,,,,,,,,,,
34426/Agricultural-product-sales-management-system,,,,,,,,,,,,,,,
GuoGuang/madao_service,,,,,,,,,,,,,,,
miguelperezcolom/mateu,,,,,,,,,,,,,,,
polardb/polardbx-cdc,,,,,,,,,,,,,,,
Intel-bigdata/HiBench,,,,,,,,,,,,,,,
alibaba/fast-modeling-language,,,,,,,,,,,,,,,
aws-samples/amazon-managed-service-for-apache-flink-examples,,,,,,,,,,,,,,,
vaadin/vaadin-rest-example,,,,,,,,,,,,,,,
ndxt/centit-framework-system,,,,,,,,,,,,,,,
dji-sdk/DJI-Cloud-API-Demo,,,,,,,,,,,,,,,
SimpleAstronomy/simple-astronomy-lib,,,,,,,,,,,,,,,
osslabz/evm-abi-decoder,,,,,,,,,,,,,,,
GeyserExtensionists/GeyserUtils,,,,,,,,,,,,,,,
nuls-io/nuls-chainbox,,,,,,,,,,,,,,,
JFXtras/jfxtras,,,,,,,,,,,,,,,
pig-mesh/nacos-datasource-plugin-kingbase,,,,,,,,,,,,,,,
jfree/jfreesvg,,,,,,,,,,,,,,,
apache/incubator-xtable,,,,,,,,,,,,,,,
eclipse-vertx/vertx-auth,,,,,,,,,,,,,,,
aqiu202/aqiu-spring-boot-starter-projects,,,,,,,,,,,,,,,
rhwood/jsplitbutton,1,,,,,,,,,,,,,,
jenkinsci/ansicolor-plugin,1,,,,,,,,,,,,,,
dromara/SMS4j,,,,,,,,,,,,,,,
javadev/hexeditor,,,,,,,,,,,,,,,
cryptomator/cryptofs,,,,1,1,,,,1,1,1,,,,
Hardork/DataLoom,,,,,,,,,,,,,,,
Sloeber/arduino-eclipse-plugin,,,,,,,,,,,,,,,
akamai/EdgeAuth-Token-Java,,,,,,,,,,,,,,,
ChannelApe/shopify-sdk,,,,,,,,,,,,,,,
skynetcap/solanaj,,,,,,,,,,,,,,,
OpenKnowledgeHub/jSEPA,,,,,,,,,,,,,,,
killbilling/recurly-java-library,,,,,,,,,,,,,,,
flyway/flyway-ant,,,,,,,,,,,,,,,
QAlified/automation-framework-selenium,,,,,,,,,,,,,,,
rockswang/java-curl,,,,,,,,,,,,,,,
PreibischLab/BigStitcher,,,,,,,,,,,,,,,
apache/amoro,,,,,,,,,,,,,,,
FishPiOffical/rhythm,,,,,,,,,,,,,,,
networknt/light-rest-4j,,,,,,,,,,,,,,,
deepjavalibrary/djl-spring-boot-starter,,,,,,,,,,,,,,,
violetumleditor/violetumleditor,,,,,,,,,,,,,,,
smcql/smcql,,,,,,,,,,,,,,,
youlanqiang/my-restaurant,,,,,,,,,,,,,,,
eclab/mason,,,,,,,,,,,,,,,
beehive-lab/levelzero-jni,,,,,,,,,,,,,,,
XT-i/aws-lambda-jenkins-plugin,,,,,,,,,,,,,,,
Appdynamics/nginx-monitoring-extension,,,,,,,,,,,,,,,
drftpd-ng/drftpd,,,,,,,,,,,,,,,
shinesolutions/aem-password-reset,,,,,,,,,,,,,,,
aws-samples/pix-proxy-samples,,,,,,,,,,,,,,,
naver/arcus-spring,,,,,,,,,,,,,,,
orientechnologies/orientdb-gremlin,,,,,,,,,,,,,,,
evolvedbinary/jni-benchmarks,,,,,,,,,,,,,,,
datasonnet/datasonnet-mapper,,,,,,,,,,,,,,,
heroku/webapp-runner,,,,,,,,,,,,,,,
BixinTech/sona,,,,,,,,,,,,,,,
githubkcet/solidbase,,,,,,,,,,,,,,,
eclipse-keti/keti,,,,,,,,,,,,,,,
netty/netty-incubator-codec-quic,,,,,,,,,,,,,,,
alibaba/transmittable-thread-local,,,,,,,,,,,,,,,
fisenkodv/dictum,,,,,,,,,,,,,,,
quarkiverse/quarkus-morphia,,,,,,,,,,,,,,,
imglib/imglib2-imglyb,,,,,,,,,,,,,,,
dvbern/iso20022,,,,,,,,,,,,,,,
fayechenlong/plumelog,,,,,,,,,,,,,,,
alibaba/jetcache,,,,,,,,,,,,,,,
matomo-org/matomo-java-tracker,,,,,,,,,,,,,,,
awslabs/aws-glue-schema-registry,,,,,,,,,,,,,,,
lonecloud/ssm-student,,,,,,,,,,,,,,,
ChristopherSchultz/mirth-plugins,,,,,,,,,,,,,,,
ammaralii/interview-preparation-kit,,,,,,,,,,,,,,,
TendTo/Tutorato-Ingegneria-del-Software,,,,,,,,,,,,,,,
sepses/cyber-kg-converter,,,,,,,,,,,,,,,
inductiveautomation/ignition-sdk-archetypes,,,,,,,,,,,,,,,
thebubbleindex/thebubbleindex,,,,,,,,,,,,,,,
utPLSQL/utPLSQL-maven-plugin,,,,,,,,,,,,,,,
vert-x3/vertx-reactive-streams,,,,,,,,,,,,,,,
slabiak/AppointmentScheduler,,,,,,,,,,,,,,,
dadoonet/fscrawler,,,,,,,,,,,,,,,
FabioZumbi12/PixelVip,,,,,,,,,,,,,,,
runtimeverification/k,,,,,,,,,,,,,,,
artipie/artipie,,,,,,,,,,,,,,,
saeg/asm-defuse,,,,,,,,,,,,,,,
xtremexp/UT4X-Converter,,,,,,,,,,,,,,,
quarkiverse/quarkus-poi,,,,,,,,,,,,,,,
pivotal-cf/PCC-Sample-App-PizzaStore,,,,,,,,,,,,,,,
seeflood/pua-rpc,,,,,,,,,,,,,,,
jkutner/saferegex,,,,,,,,,,,,,,,
parasoft/parabank,,,,,,,,,,,,,,,
scify/JedAIToolkit,,,,,,,,,,,,,,,
websight-io/howlite,,,,,,,,,,,,,,,
algorand/java-algorand-sdk,,,,,,,,,,,,,,,
rksmart/bitcoinj-thin,,,,,,,,,,,,,,,
chenggangpro/reactive-mybatis-support,,,,,,,,,,,,,,,
descope/descope-java,,,,,,,,,,,,,,,
MGDIS/lightweightCMIserver,,,,,,,,,,,,,,,
quarkiverse/quarkus-operator-sdk,,,,,,,,,,,,,,,
jenkinsci/maven-snapshot-check-plugin,1,,,,,,,,,,,,,,
oceanbase/flink-connector-oceanbase,,,,,,,,,,,,,,,
svenkubiak/embedded-mongodb,,,,,,,,,,,,,,,
SoBadFish/GameDemo,,,,,,,,,,,,,,,
apache/dubbo-benchmark,,,,,,,,,,,,,,,
pentaho/marketplace,,,,,,,,,,,,,,,
universAAL/lddi,,,,,,,,,,,,,,,
hantsy/jakartaee9-servlet-starter-boilerplate,,,,,,,,,,,,,,,
drmacro/wordinator,,,,,,,,,,,,,,,
davidmoten/rxjava-slf4j,,,,,,,,,,,,,,,
davidmoten/geo,,,,,,,,,,,,,,,
clemlabprojects/ambari,1,,,,,,,,,,,,,,
feuyeux/jax-rs2-guide-II,,,,,,,,,,,,,,,
nicolarcouvrat/javaimports,,,,,,,,,,,,,,,
rulojuka/sbking,,,,,,,,,,,,,,,
bes2008/easyjson,,,,,,,,,,,,,,,
maciekberry/MonumentPhotoExporter,,,,,,,,,,,,,,,
chains-project/maven-lockfile,,,,,,,,,,,,,,,
flyingsaucerproject/flyingsaucer,,,,,,,,,,,,,,,
